author,year,category,sub_category_I,sub_category_II,task,sub_task,title,journal,ml_type,neuralNetwork_type,neuralNetwork_name,hiddenLayers,training_process,inputs,outputs,data_domain,data_type,data_size,performance_metrice,performance_score,baseline,notes
Wang,1995,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Artificial Neural Network-Based Seismic Detector,BSSA,['ANN'],['FC'],[],['?'],['Supervised_Learning'],['STA/LTA'],['earthquakes'],['time'],['field'],[50],['Precision'],[0.98],[],"developed one of the first AI-based detectors. Two networks (one uses the recursive STA/LTA time series, and the other one uses moving window spectrograms as input data) are trained for real-time earthquake detection. Their results show that the neural network based detector outperform conventional STA/LTA especially for signals with either low signal-to-noise ratio or spikelike noises."
Tiira,1999,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Detecting teleseismic events using artificial neural networks, Computers and Geosciences ,['ANN'],['RNN'],[],['?'],['Supervised_Learning'],['four different STA/LTA values computed in seven frequency bands'],[],['time'],[],[],[],[],['Murdock±Hutt detector'],  C53
Madureira,2009,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,A Neural Network Seismic Detector,IFAC Proceedings Volumes,"['SVM', 'ANN']",[],[],['?'],['Supervised_Learning'],['features'],['earthquakes'],['frequency'],['field'],[2903],"['Recall', 'selectivity']","[0.98, 1.0]",[], iteratively incorporating poorly classified cases in the training set 
Riggelsen,2014,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,A machine learning approach for improving the detection capabilities at 3C seismic stations, Pure and Applied Geophysics ,['Dynamic Bayesian Networks'],[],[],[],['Supervised_Learning'],['features'],"['signal', 'noise']",['time-frequency'],[],[],[],[],[]," C31 - We apply and evaluate a recent machine learning method for the automatic classification of seismic waveforms. The method relies on Dynamic Bayesian Networks (DBN) and supervised learning to improve the detection capabilities at 3C seismic stations. A time-frequency decomposition provides the basis for the required signal characteristics we need in order to derive the features defining typical ‘‘signal’’ and ‘‘noise’’ patterns. Each pattern class is modeled by a DBN, specifying the interrelationships of the derived features in the time-frequency plane. Subsequently, the models are trained using previously labeled segments of seismic data. The DBN models can now be compared against in order to determine the likelihood of new incoming seismic waveform segments to be either signal or noise."
Wiszniowski,2014,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Application of real time recurrent neural network for detection of small natural earthquakes in Poland,Acta Geophysica,['ANN'],['RNN'],[],['?'],['Supervised_Learning'],['features'],"['earthquakes', 'noise']",['frequency'],['field'],[],[],[],['STA/LTA'],  
Doubravová,2016,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Single LayerRecurrentNeuralNetworkfordetectionofswarm-like earthquakesinW-Bohemia/Vogtland—the method,Computers & Geosciences,['ANN'],['RNN'],[],['?'],['Supervised_Learning'],['waveform'],[],['time'],['field'],[],[],[],[], It combines features used in other neural network concepts suchas the Real Time Recurrent Network and Nonlinear Autoregressive Neural Network to achieve good performance of detection.
Draelos,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Dynamic Tuning of Seismic Signal Detector Trigger Levels for Local Networks,BSSA,[],[],[],[],['Reinforcement_Learning'],[],['treshold value for STA/LTA'],['time'],['field'],[],[],[],[], to dynamically define the threshold values for single-station earthquake detectors based on the information from neighboring stations.
Li,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Machine Learning Seismic Wave Discrimination: Application to Earthquake Early Warning,GRL,"['ANN', 'RF']","['CNN', 'FC']",['GAN'],"[128, 128, 16, 16, 128, 128]",['Unsupervised_Learning'],['4 s waveform'],"['local P wave', 'inpulsive non-earthquake']",['time'],['field'],[700000],[],[],[], used a combination of GAN and random forest to discriminate between first-arrival earthquake P and impulsive non-earthquake signals. It uses the trained discriminator of GAN to automatically extract features from waveform and used them for dircriminating between local P-wave and impulsive non-earthquake arrivals. This is more a detection task (in which only true local P arrival is of the interest) not a real discrimination task. It is not also clear why a supervised GAN was not used since the training data size is pretty large.  
Mu,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Deep Learning for Seismic Template Recognition,Proceedings of the Practice and Experience on Advanced Research Computing,['ANN'],"['CNN', 'FC']",[],"['?', '?', '?', '?']",['Supervised_Learning'],['3 component waveforms'],['6 classes based on the quality'],['time'],['synthetic'],[4200],['accuracy'],"[0.98, 1.0]",[],  
Perol,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Convolutional neural network for earthquake detection and location,Science Advances,['ANN'],"['CNN', 'FC']",[],"[32, 32, 32, 32, 32, 32, 32, 7]",['Supervised_Learning'],['3C waveform'],"['no event', 'cluster1', 'cluster2', 'cluster3', 'cluster4', 'cluster5', 'cluster6']",['time'],['field'],[727000],"['Recall', 'Precision']","[0.95, 1.0]","['FAST', 'template matching']", @@ trained a convolutional neural network to simultaneously learn classification (event vs. noise) and to group earthquakes into 6 clusters initially defined by K-means in Oklahoma
